experience_level,job_title,salary_in_usd,company_location,company_size
SE,Data Analyst,204500,US,M
SE,Data Analyst,138900,US,M
SE,Machine Learning Engineer,318300,US,M
SE,Machine Learning Engineer,212200,US,M
SE,Data Engineer,95000,US,M
SE,Data Engineer,75000,US,M
SE,Data Scientist,195000,US,M
SE,Data Scientist,160000,US,M
SE,Analytics Engineer,230000,US,M
SE,Analytics Engineer,143200,US,M
MI,Data Engineer,100000,US,M
MI,Data Engineer,70000,US,M
MI,autre,105000,US,L
MI,autre,20670,IN,L
MI,Data Analyst,46178,GB,M
MI,Data Analyst,42533,GB,M
SE,Data Engineer,145000,US,M
SE,Data Engineer,115000,US,M
SE,Data Analyst,168400,US,M
SE,Data Analyst,105200,US,M
SE,Applied Scientist,309400,US,L
SE,Applied Scientist,159100,US,L
SE,Machine Learning Engineer,190000,US,M
SE,Machine Learning Engineer,150000,US,M
MI,Data Engineer,162500,US,M
MI,Data Engineer,130000,US,M
SE,Analytics Engineer,150000,US,M
SE,Analytics Engineer,120000,US,M
SE,Data Engineer,145000,US,M
SE,Data Engineer,120000,US,M
SE,Applied Scientist,222200,US,L
SE,Applied Scientist,136000,US,L
SE,Data Analyst,54685,autre,M
SE,Data Analyst,42533,autre,M
SE,Data Engineer,241000,US,M
SE,Data Engineer,155000,US,M
SE,Data Engineer,220000,US,M
SE,Data Engineer,190000,US,M
MI,Data Scientist,66837,GB,M
MI,Data Scientist,54685,GB,M
EX,autre,15000,CA,M
MI,autre,85066,GB,M
MI,autre,57723,GB,M
EN,Data Analyst,85000,US,M
EN,Data Analyst,75000,US,M
SE,Data Engineer,160000,US,M
SE,Data Engineer,140000,US,M
MI,Machine Learning Engineer,300000,US,M
MI,Machine Learning Engineer,250000,US,M
SE,Data Scientist,228000,US,M
SE,Data Scientist,186000,US,M
SE,Data Scientist,190000,US,M
SE,Data Scientist,170000,US,M
MI,autre,230000,US,M
MI,autre,200000,US,M
SE,Data Architect,180000,US,M
SE,Data Architect,115000,US,M
SE,Data Architect,200000,US,M
SE,Data Architect,115000,US,M
SE,autre,53654,autre,S
EX,Data Engineer,220000,US,M
EX,Data Engineer,205000,US,M
MI,Data Engineer,180000,US,M
MI,Data Engineer,130000,US,M
SE,Data Engineer,200000,US,M
SE,Data Engineer,150000,US,M
SE,autre,215000,US,M
SE,autre,170000,US,M
SE,Machine Learning Engineer,247500,US,M
SE,Machine Learning Engineer,172200,US,M
SE,Data Scientist,224000,CA,M
SE,Data Scientist,176000,CA,M
SE,Data Analyst,120000,US,M
SE,Data Analyst,75000,US,M
EN,Data Engineer,17022,IN,L
SE,autre,68318,autre,M
MI,autre,75020,autre,M
SE,Data Analyst,140000,US,M
SE,Data Analyst,120000,US,M
SE,Data Engineer,128000,US,M
SE,Data Engineer,81500,US,M
SE,Data Engineer,145000,US,M
SE,Data Engineer,115000,US,M
SE,Data Engineer,185000,US,M
SE,Data Engineer,140000,US,M
EX,autre,329500,US,M
EX,autre,269600,US,M
SE,autre,100000,US,M
SE,autre,80000,US,M
SE,Data Scientist,250000,US,M
SE,Data Scientist,162500,US,M
MI,autre,200000,US,M
SE,Data Engineer,145000,US,M
SE,Data Engineer,100000,US,M
EX,Data Engineer,145000,US,M
EX,Data Engineer,115000,US,M
SE,Data Scientist,203500,US,M
SE,Data Scientist,152000,US,M
SE,Data Scientist,239000,US,L
SE,Data Scientist,122900,US,L
SE,Data Scientist,237000,US,M
SE,Data Scientist,145000,US,M
SE,Data Science Manager,191765,US,M
SE,Data Science Manager,134236,US,M
SE,Analytics Engineer,190000,US,M
SE,Analytics Engineer,112000,US,M
SE,Data Scientist,88256,GB,L
EN,Data Engineer,85000,US,M
EN,Data Engineer,65000,US,M
SE,Data Analyst,135000,US,M
SE,Data Analyst,105500,US,M
SE,autre,293000,US,M
SE,autre,185000,US,M
SE,Data Analyst,80000,US,M
SE,Data Analyst,70000,US,M
SE,Data Engineer,220000,US,M
SE,Data Engineer,160000,US,M
SE,Data Scientist,175000,US,M
SE,Data Scientist,145000,US,M
SE,Data Analyst,200000,US,M
SE,Data Analyst,148500,US,M
SE,Data Scientist,48289,ES,M
SE,Data Scientist,38631,ES,M
SE,Data Engineer,240500,US,L
SE,Data Engineer,123700,US,L
SE,Analytics Engineer,152900,US,M
SE,Analytics Engineer,117100,US,M
SE,Analytics Engineer,173000,US,M
SE,Analytics Engineer,113000,US,M
SE,Applied Scientist,260000,US,L
SE,Applied Scientist,136000,US,L
EX,Data Engineer,175000,US,M
EX,Data Engineer,110000,US,M
SE,Applied Scientist,260000,US,L
SE,Applied Scientist,136000,US,L
SE,Research Scientist,130000,US,M
SE,Research Scientist,110000,US,M
SE,Applied Scientist,205000,US,M
SE,Applied Scientist,184000,US,M
SE,Data Analyst,149500,US,M
SE,Data Analyst,127075,US,M
SE,Data Scientist,195000,US,M
SE,Data Scientist,160000,US,M
SE,Data Engineer,219535,US,M
SE,Data Engineer,146115,US,M
SE,Data Scientist,170000,US,M
SE,Data Scientist,135000,US,M
SE,Data Scientist,175000,US,M
SE,Data Scientist,145000,US,M
SE,Data Scientist,199000,US,M
SE,Data Scientist,162000,US,M
SE,Applied Scientist,222200,US,L
SE,Applied Scientist,136000,US,L
EX,Analytics Engineer,221000,US,M
EX,Analytics Engineer,153000,US,M
SE,Data Analyst,187000,US,M
SE,Data Analyst,128000,US,M
SE,Research Scientist,210000,US,M
SE,Research Scientist,136000,US,M
SE,Data Scientist,175000,US,M
SE,Data Scientist,100000,US,M
SE,Data Engineer,179000,US,M
SE,Data Engineer,109000,US,M
SE,Data Scientist,245000,US,M
SE,Data Scientist,180000,US,M
SE,Data Analyst,142000,US,M
SE,Data Analyst,75000,US,M
SE,autre,198800,US,M
SE,autre,105200,US,M
SE,Data Analyst,125000,US,M
SE,Data Analyst,112000,US,M
SE,Data Scientist,210000,US,M
SE,Data Scientist,155000,US,M
SE,autre,115000,US,M
SE,autre,86000,US,M
SE,Data Scientist,165000,US,M
SE,Data Scientist,140000,US,M
SE,Data Analyst,139000,US,M
SE,Data Analyst,106000,US,M
EN,Data Analyst,40663,CA,L
SE,autre,275000,CA,S
SE,autre,50000,autre,S
MI,Machine Learning Engineer,280700,US,M
MI,Machine Learning Engineer,150450,US,M
EN,Data Scientist,51753,CA,L
SE,Data Architect,250500,US,M
SE,Data Architect,159500,US,M
SE,Data Engineer,145000,US,M
SE,Data Engineer,115000,US,M
SE,Data Analyst,140000,US,M
SE,Data Analyst,120000,US,M
EN,Data Scientist,130001,US,M
EN,Data Scientist,71907,US,M
MI,Data Scientist,93918,US,M
MI,Data Scientist,51962,US,M
SE,Data Analyst,175000,CA,M
SE,Data Analyst,135000,CA,M
EN,Data Engineer,85000,US,M
EN,Data Engineer,65000,US,M
SE,Machine Learning Engineer,257000,US,M
SE,Machine Learning Engineer,147000,US,M
SE,Data Engineer,222000,US,M
SE,Data Engineer,175000,US,M
SE,Data Scientist,203000,US,M
SE,Data Scientist,133200,US,M
EN,Applied Scientist,213660,US,L
EN,Applied Scientist,130760,US,L
SE,Data Engineer,221000,US,M
SE,Data Engineer,147000,US,M
SE,autre,100000,US,M
SE,autre,80000,US,M
SE,Data Scientist,185900,US,M
SE,Data Scientist,129300,US,M
SE,Data Scientist,238000,US,M
SE,Data Scientist,156000,US,M
SE,Machine Learning Engineer,304000,US,M
SE,Machine Learning Engineer,199000,US,M
MI,autre,48289,ES,M
SE,Data Engineer,150000,US,M
SE,Data Engineer,130000,US,M
SE,Data Scientist,140000,US,M
SE,Data Scientist,110000,US,M
MI,Data Analyst,90000,US,M
MI,Data Analyst,75000,US,M
MI,Research Scientist,195895,GB,M
MI,Research Scientist,102772,GB,M
SE,Data Engineer,240000,US,M
SE,Data Engineer,183600,US,M
MI,autre,130000,US,M
MI,autre,80000,US,M
SE,Data Engineer,250000,US,M
SE,Data Engineer,150000,US,M
SE,autre,160000,US,M
SE,autre,120000,US,M
SE,Machine Learning Engineer,289076,US,M
SE,Machine Learning Engineer,202353,US,M
SE,Data Engineer,145000,US,M
SE,Data Engineer,120000,US,M
SE,Data Analyst,155000,US,M
SE,Data Analyst,106000,US,M
SE,Data Engineer,200000,US,M
SE,Data Engineer,160000,US,M
SE,Data Scientist,157750,US,M
SE,Data Scientist,104650,US,M
MI,Data Scientist,180000,US,M
MI,Data Scientist,140000,US,M
EX,Data Scientist,200000,US,M
EX,Data Scientist,145000,US,M
MI,autre,68000,US,L
EN,autre,60000,US,M
SE,Data Scientist,48289,ES,M
SE,Data Scientist,38631,ES,M
EN,Data Engineer,85000,US,M
EN,Data Engineer,65000,US,M
MI,Data Engineer,125000,US,M
MI,Data Engineer,90000,US,M
SE,Data Analyst,105000,US,M
SE,Data Analyst,90000,US,M
SE,Analytics Engineer,179820,US,M
SE,Analytics Engineer,143860,US,M
SE,Data Analyst,135000,US,M
SE,Data Analyst,105500,US,M
EN,autre,155000,US,M
EN,autre,125000,US,M
SE,Machine Learning Engineer,241000,US,M
SE,Machine Learning Engineer,181000,US,M
SE,Data Scientist,252000,US,M
SE,Data Scientist,154000,US,M
EX,Data Architect,180000,US,M
EX,Data Architect,155000,US,M
SE,Data Scientist,191765,US,M
SE,Data Scientist,134236,US,M
SE,Data Scientist,175000,US,M
SE,Data Scientist,145000,US,M
SE,Data Scientist,237000,US,M
SE,Data Scientist,145000,US,M
EN,autre,155000,US,M
EN,autre,125000,US,M
SE,Data Analyst,80000,US,M
SE,Data Analyst,70000,US,M
SE,Data Engineer,146000,US,M
SE,Data Engineer,75000,US,M
EN,Data Analyst,64200,US,M
EN,Data Analyst,56100,US,M
SE,Machine Learning Engineer,170000,US,M
SE,Machine Learning Engineer,130000,US,M
SE,Data Analyst,208450,US,M
SE,Data Analyst,170550,US,M
SE,Machine Learning Engineer,125000,US,M
SE,Machine Learning Engineer,100000,US,M
MI,autre,135000,US,M
MI,autre,120000,US,M
SE,Data Scientist,200000,US,M
SE,Data Scientist,170000,US,M
SE,Data Scientist,171250,autre,M
SE,Data Scientist,113750,autre,M
SE,Applied Scientist,222200,US,L
SE,Applied Scientist,136000,US,L
SE,Applied Scientist,260000,US,L
SE,Applied Scientist,136000,US,L
SE,Data Analyst,153600,US,M
SE,Data Analyst,100500,US,M
SE,Applied Scientist,205000,US,M
SE,Applied Scientist,184000,US,M
SE,Machine Learning Engineer,115000,CA,M
SE,Machine Learning Engineer,95000,CA,M
MI,Data Analyst,182500,US,M
MI,Data Analyst,121500,US,M
SE,Data Engineer,203100,US,M
SE,Data Engineer,114500,US,M
MI,Data Analyst,72914,GB,M
MI,Data Analyst,54685,GB,M
SE,Data Engineer,252000,US,M
SE,Data Engineer,129000,US,M
EN,Data Engineer,92700,US,M
EN,Data Engineer,61800,US,M
SE,Data Engineer,160000,US,M
SE,Data Engineer,130000,US,M
SE,Data Scientist,258000,CA,M
SE,Data Scientist,190000,CA,M
SE,Data Scientist,170000,US,M
SE,Data Scientist,135000,US,M
MI,Data Architect,167500,US,M
MI,Data Architect,106500,US,M
SE,Data Scientist,195000,US,M
SE,Data Scientist,160000,US,M
MI,Data Engineer,146000,US,M
MI,Data Engineer,75000,US,M
EN,Data Engineer,59888,autre,L
EX,Data Engineer,286000,US,M
EX,Data Engineer,207000,US,M
SE,Data Analyst,100000,US,M
SE,Data Analyst,80000,US,M
SE,Data Engineer,223250,US,M
SE,Data Engineer,178600,US,M
EX,autre,353200,US,M
EX,autre,249300,US,M
MI,autre,230000,US,M
MI,autre,220000,US,M
SE,Data Scientist,297300,US,M
SE,Data Scientist,198200,US,M
MI,Research Scientist,210000,US,M
MI,Research Scientist,151800,US,M
SE,Data Scientist,200000,US,M
SE,Data Scientist,170000,US,M
SE,Data Scientist,317070,US,M
SE,Data Scientist,170730,US,M
SE,Data Engineer,128000,US,M
SE,Data Engineer,81500,US,M
EN,autre,21461,ES,M
SE,autre,108000,autre,M
SE,autre,60000,autre,M
MI,autre,134000,US,M
MI,autre,124000,US,M
SE,Data Engineer,171250,US,M
SE,Data Engineer,113750,US,M
SE,Data Engineer,165000,US,M
SE,Data Engineer,132300,US,M
SE,Data Scientist,225000,US,M
SE,Data Scientist,175000,US,M
SE,Data Engineer,230000,US,M
SE,Data Engineer,124500,US,M
SE,Machine Learning Engineer,247500,US,M
SE,Machine Learning Engineer,172200,US,M
SE,Data Analyst,175000,US,M
SE,Data Analyst,145000,US,M
SE,Data Analyst,148700,US,M
SE,Data Analyst,125600,US,M
SE,Data Engineer,145000,US,M
SE,Data Engineer,115000,US,M
SE,Research Scientist,200000,US,M
SE,Research Scientist,150000,US,M
EN,autre,160000,US,M
EN,autre,120000,US,M
SE,Data Analyst,185000,US,M
SE,Data Analyst,120250,US,M
SE,Data Scientist,275300,US,M
SE,Data Scientist,183000,US,M
SE,Data Architect,170000,US,M
SE,Data Architect,125000,US,M
MI,Data Architect,167500,US,M
MI,Data Architect,106500,US,M
SE,Research Scientist,250000,US,M
SE,Research Scientist,200000,US,M
MI,Machine Learning Engineer,135000,US,L
SE,autre,423834,autre,L
SE,Machine Learning Engineer,216000,US,M
SE,Machine Learning Engineer,184000,US,M
SE,Data Engineer,180000,US,M
SE,Data Engineer,165000,US,M
SE,Data Scientist,185900,US,M
SE,Data Scientist,129300,US,M
SE,Data Engineer,145000,US,M
SE,Data Engineer,120000,US,M
MI,Data Engineer,143865,US,M
MI,Data Engineer,115092,US,M
MI,Machine Learning Engineer,130000,US,M
MI,Machine Learning Engineer,90000,US,M
SE,Data Scientist,173000,US,M
SE,Data Scientist,132000,US,M
SE,Data Analyst,208049,US,M
SE,Data Analyst,128500,US,M
SE,Analytics Engineer,179820,US,M
SE,Analytics Engineer,143860,US,M
SE,Data Engineer,167500,US,M
SE,Data Engineer,106500,US,M
SE,Data Scientist,275300,US,M
SE,Data Scientist,183500,US,M
MI,Data Engineer,149600,US,M
MI,Data Engineer,102000,US,M
EX,Data Scientist,145000,US,M
EX,Data Scientist,100000,US,M
SE,Data Analyst,190000,US,M
SE,Data Analyst,95000,US,M
SE,Data Analyst,153600,US,M
SE,Data Analyst,106800,US,M
MI,Data Scientist,96578,autre,M
MI,Data Scientist,80481,autre,M
MI,Data Analyst,128000,US,M
MI,Data Analyst,85000,US,M
MI,Data Engineer,151000,US,M
MI,Data Engineer,140000,US,M
SE,Data Scientist,275300,US,M
SE,Data Scientist,183500,US,M
SE,autre,220000,US,M
SE,autre,170000,US,M
SE,Data Analyst,135000,US,M
SE,Data Analyst,105500,US,M
SE,Data Analyst,100000,US,M
SE,Data Analyst,80000,US,M
EN,autre,7000,autre,S
EN,autre,42923,DE,M
SE,Data Engineer,160000,CA,M
SE,Data Engineer,145000,CA,M
MI,Data Analyst,154000,US,M
MI,Data Analyst,143000,US,M
MI,Data Scientist,78990,GB,M
MI,Data Scientist,51039,GB,M
EN,Data Scientist,190000,US,M
EN,Data Scientist,120000,US,M
MI,Data Scientist,85066,GB,M
MI,Data Scientist,51039,GB,M
MI,Data Scientist,109371,GB,M
MI,Data Scientist,72914,GB,M
SE,Data Engineer,150000,US,M
SE,Data Engineer,111000,US,M
EX,Data Engineer,265000,US,M
EX,Data Engineer,235000,US,M
EN,Data Scientist,121093,autre,L
MI,Data Scientist,73546,DE,M
SE,Data Engineer,160000,US,M
SE,Data Engineer,130000,US,M
MI,Data Engineer,75000,US,M
MI,Data Engineer,60400,US,M
EN,Data Analyst,85000,US,M
EN,Data Analyst,75000,US,M
SE,Data Engineer,252000,US,M
SE,Data Engineer,129000,US,M
EN,Data Engineer,92700,US,M
EN,Data Engineer,61800,US,M
SE,autre,172309,autre,L
MI,Data Scientist,60093,DE,M
MI,Data Analyst,83500,US,M
MI,Data Analyst,52500,US,M
SE,Data Scientist,201036,US,M
SE,Data Scientist,134024,US,M
SE,Data Analyst,165000,US,M
SE,Data Analyst,140000,US,M
EN,Data Engineer,62000,US,M
EN,Data Engineer,58000,US,M
SE,Data Scientist,172000,US,M
SE,Data Scientist,115000,US,M
EN,Data Engineer,125000,US,M
EN,Data Engineer,90000,US,M
SE,Data Engineer,163800,US,M
SE,Data Engineer,126000,US,M
SE,Data Scientist,237000,US,M
SE,Data Scientist,145000,US,M
MI,Data Engineer,90000,US,M
MI,Data Engineer,90000,US,M
SE,Data Engineer,139500,US,M
SE,Data Engineer,109400,US,M
SE,Data Scientist,258000,CA,M
SE,Data Scientist,190000,CA,M
MI,Data Engineer,145000,US,M
MI,Data Engineer,120000,US,M
SE,Data Engineer,205600,US,L
SE,Data Engineer,105700,US,L
SE,Data Engineer,252000,US,M
SE,Data Engineer,129000,US,M
SE,Data Scientist,239748,US,M
SE,Data Scientist,159832,US,M
SE,Data Scientist,186300,US,M
SE,Data Scientist,102500,US,M
SE,Data Engineer,165000,US,M
SE,Data Engineer,132300,US,M
SE,Data Scientist,190000,US,M
SE,Data Scientist,126000,US,M
SE,Data Architect,149040,US,M
SE,Data Architect,113900,US,M
SE,Data Engineer,153600,US,M
SE,Data Engineer,106800,US,M
SE,Data Engineer,172600,US,M
SE,Data Engineer,107900,US,M
SE,Data Analyst,180180,US,M
SE,Data Analyst,106020,US,M
SE,Data Architect,376080,US,M
SE,Data Architect,213120,US,M
SE,Data Analyst,153600,US,M
SE,Data Analyst,100500,US,M
SE,Data Analyst,206500,US,M
SE,Data Analyst,121600,US,M
SE,Data Engineer,260000,US,M
SE,Data Engineer,225000,US,M
EX,Data Engineer,194500,US,M
EX,Data Engineer,115500,US,M
SE,autre,170000,US,L
SE,autre,90000,US,L
EN,Data Analyst,95000,US,M
EN,Data Analyst,70000,US,M
SE,Data Engineer,275000,US,M
SE,Data Engineer,160000,US,M
SE,Data Analyst,115934,US,M
SE,Data Analyst,81666,US,M
SE,Data Scientist,175000,US,M
SE,Data Scientist,120000,US,M
SE,Machine Learning Engineer,150000,US,M
SE,Machine Learning Engineer,120000,US,M
SE,autre,200000,US,M
SE,autre,175000,US,M
MI,Data Analyst,206000,US,M
MI,Data Analyst,130000,US,M
SE,Data Architect,138000,GB,M
SE,Data Architect,92000,GB,M
SE,autre,65000,autre,M
SE,autre,48000,autre,M
SE,Data Analyst,110000,US,M
SE,Data Analyst,75000,US,M
SE,Analytics Engineer,130000,US,M
SE,Analytics Engineer,87000,US,M
MI,Data Analyst,160000,US,M
MI,Data Analyst,112000,US,M
MI,Data Engineer,162500,US,M
MI,Data Engineer,130000,US,M
SE,Data Science Manager,299500,US,M
SE,Data Science Manager,245100,US,M
MI,Data Scientist,145000,US,M
MI,Data Scientist,100000,US,M
SE,Data Engineer,147100,US,M
SE,Data Engineer,90700,US,M
EN,Data Engineer,115100,US,M
EN,Data Engineer,73900,US,M
SE,Data Engineer,168400,US,M
SE,Data Engineer,105200,US,M
SE,Data Scientist,210000,US,M
SE,Data Scientist,160000,US,M
MI,Data Scientist,145000,US,M
MI,Data Scientist,100000,US,M
SE,Applied Scientist,222200,US,L
SE,Applied Scientist,136000,US,L
MI,Data Analyst,100000,US,M
MI,Data Analyst,85000,US,M
MI,Data Engineer,85066,GB,M
MI,Data Engineer,57723,GB,M
EX,Data Scientist,200000,US,M
EX,Data Scientist,145000,US,M
MI,Data Engineer,140000,US,M
MI,Data Engineer,95000,US,M
SE,Data Analyst,185000,US,M
SE,Data Analyst,120250,US,M
MI,autre,130000,US,L
SE,Data Scientist,205000,US,M
SE,Data Scientist,140000,US,M
SE,Data Scientist,297300,US,M
SE,Data Scientist,198200,US,M
SE,Research Scientist,141288,US,M
SE,Research Scientist,94192,US,M
SE,autre,184000,US,M
SE,autre,143000,US,M
SE,Data Analyst,70000,US,M
SE,Data Analyst,55000,US,M
SE,Analytics Engineer,275300,US,M
SE,Analytics Engineer,183500,US,M
MI,Data Analyst,75000,US,M
MI,Data Analyst,65000,US,M
MI,autre,160000,US,M
MI,autre,147000,US,M
SE,Data Architect,149040,US,M
SE,Data Architect,113900,US,M
MI,autre,75020,autre,L
SE,Data Analyst,180180,US,M
SE,Data Analyst,106020,US,M
MI,Data Scientist,17022,IN,L
EN,autre,70000,autre,L
EN,autre,80000,autre,M
MI,autre,18238,IN,L
MI,Machine Learning Engineer,250000,US,M
MI,Machine Learning Engineer,150000,US,M
SE,Data Engineer,139500,US,M
SE,Data Engineer,109400,US,M
SE,Data Scientist,105000,US,M
SE,Data Scientist,70000,US,M
EX,Data Engineer,210914,US,M
EX,Data Engineer,116704,US,M
EN,Research Scientist,150000,US,M
EN,Research Scientist,100000,US,M
SE,Data Engineer,146000,US,M
SE,Data Engineer,75000,US,M
EN,Data Analyst,75000,US,M
EN,Data Analyst,60000,US,M
MI,Analytics Engineer,185700,US,M
MI,Analytics Engineer,165000,US,M
SE,Data Engineer,160000,US,M
SE,Data Engineer,130000,US,M
SE,Data Analyst,169000,US,M
SE,Data Analyst,110600,US,M
SE,autre,193000,US,M
SE,autre,136850,US,M
SE,Machine Learning Engineer,139500,US,M
SE,Machine Learning Engineer,109400,US,M
SE,Data Engineer,276000,US,M
SE,Data Engineer,178500,US,M
MI,Data Scientist,59020,ES,M
MI,Data Scientist,48289,ES,M
MI,Data Engineer,75116,autre,M
MI,Data Engineer,48289,autre,M
SE,Machine Learning Engineer,195652,GB,M
SE,Machine Learning Engineer,101228,GB,M
SE,Data Engineer,136956,GB,M
SE,Data Engineer,101228,GB,M
SE,Data Engineer,252000,US,M
SE,Data Engineer,129000,US,M
SE,autre,130000,US,L
MI,autre,150000,US,M
SE,Data Engineer,163800,US,M
SE,Data Engineer,126000,US,M
SE,autre,260000,CA,M
SE,autre,110000,CA,M
SE,Analytics Engineer,170000,US,M
SE,Analytics Engineer,130000,US,M
SE,Machine Learning Engineer,247500,US,M
SE,Machine Learning Engineer,172200,US,M
SE,Data Scientist,239748,US,M
SE,Data Scientist,159832,US,M
SE,Machine Learning Engineer,163800,US,M
SE,Machine Learning Engineer,126000,US,M
MI,Data Scientist,128750,US,M
MI,Data Scientist,106250,US,M
SE,Data Engineer,252000,US,M
SE,Data Engineer,129000,US,M
SE,Data Science Manager,299500,US,M
SE,Data Science Manager,245100,US,M
MI,autre,155000,US,M
MI,autre,140000,US,M
EX,Data Engineer,167500,US,M
EX,Data Engineer,106500,US,M
SE,Data Architect,188500,US,M
SE,Data Architect,117000,US,M
SE,Data Analyst,250000,US,M
SE,Data Analyst,138000,US,M
MI,Data Analyst,130000,CA,M
MI,Data Analyst,100000,CA,M
SE,autre,123405,DE,L
SE,Data Engineer,140000,US,M
SE,Data Engineer,120000,US,M
SE,autre,160000,US,M
SE,autre,135000,US,M
MI,Data Science Manager,104500,US,M
MI,Data Science Manager,70000,US,M
MI,autre,90000,US,M
MI,autre,70000,US,M
SE,Data Engineer,153600,US,M
SE,Data Engineer,106800,US,M
EN,Data Engineer,125000,US,M
EN,Data Engineer,90000,US,M
MI,Research Scientist,185000,US,M
MI,Research Scientist,125000,US,M
SE,Data Analyst,127000,US,M
SE,Data Analyst,94000,US,M
SE,Data Scientist,210550,US,M
